run_id,InpSymbol,InpTF,InpEMAPeriod,InpRSIPeriod,InpRSILow,InpRSIHigh,InpADXPeriod,InpADXMin,InpSwingLookback,InpRR,InpUseCommonFile,InpShowIndicators,InpShowStatusPanel,InpUseSessionFilter,InpSessionStartHour,InpSessionEndHour,InpATRPeriod,InpMinATRPoints,InpMaxSpreadPoints,InpEnableBacktestExecution,InpUseCompoundingRisk,InpRiskPercent,InpBacktestLot,InpMinLot,InpMaxLot,InpOnePositionOnly
v5_026,BTCUSD.vx,15,50,7,25,75,5,20,5,3.0,false,false,false,true,0,24,14,150,120,true,true,0.5,0.1,0.01,2.0,true
v5_027,BTCUSD.vx,15,50,7,25,75,5,25,5,3.0,false,false,false,true,0,24,14,120,120,true,true,0.5,0.1,0.01,2.0,true
v5_028,BTCUSD.vx,15,50,7,25,75,5,25,5,3.0,false,false,false,true,0,24,14,150,120,true,true,0.5,0.1,0.01,2.0,true
v5_029,BTCUSD.vx,15,50,7,25,75,5,30,5,3.0,false,false,false,true,0,24,14,120,120,true,true,0.5,0.1,0.01,2.0,true
v5_030,BTCUSD.vx,15,50,7,25,75,5,30,5,3.0,false,false,false,true,0,24,14,150,120,true,true,0.5,0.1,0.01,2.0,true
v5_031,BTCUSD.vx,15,50,7,30,70,5,20,5,3.0,false,false,false,true,0,24,14,120,120,true,true,0.5,0.1,0.01,2.0,true
v5_032,BTCUSD.vx,15,50,7,30,70,5,20,5,3.0,false,false,false,true,0,24,14,150,120,true,true,0.5,0.1,0.01,2.0,true
v5_033,BTCUSD.vx,15,50,7,30,70,5,25,5,3.0,false,false,false,true,0,24,14,120,120,true,true,0.5,0.1,0.01,2.0,true
v5_034,BTCUSD.vx,15,50,7,30,70,5,25,5,3.0,false,false,false,true,0,24,14,150,120,true,true,0.5,0.1,0.01,2.0,true
v5_035,BTCUSD.vx,15,50,7,30,70,5,30,5,3.0,false,false,false,true,0,24,14,120,120,true,true,0.5,0.1,0.01,2.0,true
v5_036,BTCUSD.vx,15,50,7,30,70,5,30,5,3.0,false,false,false,true,0,24,14,150,120,true,true,0.5,0.1,0.01,2.0,true
